trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate,
79,0,79,0,145.78356941696256,146.78390379203483,146.78390379203483,down,1,0.5754054575227201,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
80,0,80,0,147.38388016726822,148.3844627919607,148.3844627919607,down,1,0.6203882065601647,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
81,0,81,0,149.0338097922504,150.0351637499407,150.0351637499407,up,1,0.6068219156004488,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
82,0,82,0,150.667468292173,151.66750233294442,151.66750233294442,up,1,0.49888370651751757,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
83,0,83,0,152.18421754194424,153.18398779211566,153.18398779211566,down,1,0.8159975404851139,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
84,0,84,0,154.01722287526354,155.01731658307835,155.01731658307835,up,1,0.7157867904752493,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
85,0,85,0,155.75135316699743,156.7516319169663,156.7516319169663,up,0,0.5805887482129037,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
86,0,86,0,157.35097712511197,158.35142595833167,158.35142595833167,up,1,0.681081582326442,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
87,0,87,0,159.05124154221267,160.05091162538156,160.05091162538156,down,1,0.5902638318948448,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
88,0,88,0,160.66769325034693,161.6676845829934,161.6676845829934,up,1,0.7157029146328568,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
89,0,89,0,162.40211304230615,163.3844269583933,163.40093491738662,down,1,0.5162522066384554,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
90,0,90,0,163.91824525035918,164.9174885423854,164.9174885423854,down,1,0.6485421238467097,-5,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
91,0,91,0,165.58469066722319,166.58513404196128,166.58513404196128,down,1,0.7425184147432446,-3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
92,0,92,0,167.35116670839489,168.35122245829552,168.35122245829552,up,1,0.5833620405755937,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
93,0,93,0,168.95151733327657,169.95151058305055,169.95151058305055,up,1,0.5427564159035683,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
94,0,94,0,170.5178071251139,171.51856829226017,171.51856829226017,down,1,0.5318519156426191,-4,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
95,0,95,0,172.06707304203883,173.0677789170295,173.0677789170295,up,1,0.5815980397164822,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
96,0,96,0,173.66817054199055,174.668582000304,174.668582000304,down,1,0.6603769985958934,3,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
97,0,97,0,175.35634216712788,176.35151904216036,176.36825025035068,up,1,0.8671304578892887,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
98,0,98,0,177.23475258331746,178.234599375166,178.234599375166,up,1,0.650633457582444,0,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
99,0,99,0,178.90187008306384,179.90148762520403,179.90148762520403,down,1,0.5991524155251682,2,054614,001,2022-09-14_09h35.43.476,T2,2022.2.4,60.284406732340955,
